DataType,MatrixSize,Min_TIME_us,Max_TIME_us,Median_TIME_us,GFLOPS,Success
FP32,128,5.088,13.952,5.76,725.333,Yes
FP32,256,7.168,10.24,7.936,4219.87,Yes
FP32,512,12.288,17.408,13.312,20145.2,Yes
FP32,1024,44.832,52.256,46.048,46613,Yes
FP32,2048,306.176,325.792,318.464,53932.9,Yes
FP32,4096,2285.57,2783.46,2602.05,52813.1,Yes
FP32,8192,17537,20407.3,20126.4,54627.1,Yes
FP16_CUDA,128,9.216,27.36,9.984,418.462,Yes
FP16_CUDA,256,9.216,23.552,9.216,3633.78,Yes
FP16_CUDA,512,10.24,14.336,11.264,23808,Yes
FP16_CUDA,1024,35.456,41.024,35.968,59676.2,Yes
FP16_CUDA,2048,213.344,292.256,240.928,71289.7,Yes
FP16_CUDA,4096,1583.1,1923.07,1837.74,74777.6,Yes
FP16_CUDA,8192,13432.1,15245.3,15083.5,72890.4,Yes
FP16_TENSOR,128,3.072,8.48,3.968,1052.9,Yes
FP16_TENSOR,256,3.808,28.736,4.224,7928.24,Yes
FP16_TENSOR,512,5.12,9.888,5.76,46557.9,Yes
FP16_TENSOR,1024,19.424,25.408,20.352,105466,Yes
FP16_TENSOR,2048,55.264,65.216,57.344,299520,Yes
FP16_TENSOR,4096,503.808,602.112,534.528,257091,Yes
FP16_TENSOR,8192,3794.94,4754.24,4613.2,238326,Yes
FP16_FP32_MIXED_CUDA,128,4.928,9.056,5.184,805.926,Yes
FP16_FP32_MIXED_CUDA,256,6.144,18.432,7.136,4692.95,Yes
FP16_FP32_MIXED_CUDA,512,10.24,15.008,11.264,23808,Yes
FP16_FP32_MIXED_CUDA,1024,48.128,67.584,49.152,43669.3,Yes
FP16_FP32_MIXED_CUDA,2048,337.792,457.888,342.016,50218.9,Yes
FP16_FP32_MIXED_CUDA,4096,2733.06,3561.47,2867.22,47928.8,Yes
FP16_FP32_MIXED_CUDA,8192,20644.9,22902.8,22630.4,48582.6,Yes
FP16_FP32_MIXED_TENSOR,128,3.072,28.672,4,1044.48,Yes
FP16_FP32_MIXED_TENSOR,256,3.968,10.176,4.448,7528.98,Yes
FP16_FP32_MIXED_TENSOR,512,6.144,31.744,7.168,37412.6,Yes
FP16_FP32_MIXED_TENSOR,1024,19.456,24.576,20.48,104806,Yes
FP16_FP32_MIXED_TENSOR,2048,104.352,131.072,107.52,159744,Yes
FP16_FP32_MIXED_TENSOR,4096,821.248,924.672,875.136,157030,Yes
FP16_FP32_MIXED_TENSOR,8192,6695.94,7180.29,7047.39,156007,Yes
